,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_classifier__colsample_bytree,param_classifier__gamma,param_classifier__learning_rate,param_classifier__max_delta_step,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,63.27976207733154,0.5471702575683594,0.7027140871303124,0.8744402060748813,0.710101010101,0.0606060606061,0.136129318488,0,90,106,0.516161616162,"{'classifier__subsample': 0.51616161616161615, 'classifier__n_estimators': 106, 'classifier__max_depth': 90, 'classifier__max_delta_step': 0, 'classifier__learning_rate': 0.13612931848792745, 'classifier__gamma': 0.060606060606060608, 'classifier__colsample_bytree': 0.71010101010101012}",38,0.7055752128856507,0.875754704311914,0.6875713445719225,0.8722504481845925,0.6893948348152008,0.8705561784676565,0.7233785298030787,0.8804907055633505,0.7079866550413336,0.8731489938468928,1.1439848053282524,0.09057013001909676,0.013167196616272244,0.0034607625970182214
1,450.51117768287656,8.872408723831176,0.7218201244737809,0.9069645112895521,0.811111111111,0.171717171717,0.0179327578498,0,37,608,0.722222222222,"{'classifier__subsample': 0.72222222222222221, 'classifier__n_estimators': 608, 'classifier__max_depth': 37, 'classifier__max_delta_step': 0, 'classifier__learning_rate': 0.017932757849800779, 'classifier__gamma': 0.17171717171717174, 'classifier__colsample_bytree': 0.81111111111111112}",21,0.7232032003984241,0.9056765472617321,0.715030572628158,0.9096989383934969,0.7131366663923633,0.9057634594945864,0.7377687535177297,0.9111478950622581,0.7200937108116183,0.9025357162356878,8.011487826617023,2.238076817547994,0.008701482807683831,0.0030884751498695736
2,174.29019355773926,0.7336573123931884,0.722519978571767,0.8752867963254303,0.867676767677,0.89898989899,0.140887378093,0,76,232,0.693939393939,"{'classifier__subsample': 0.69393939393939397, 'classifier__n_estimators': 232, 'classifier__max_depth': 76, 'classifier__max_delta_step': 0, 'classifier__learning_rate': 0.14088737809272461, 'classifier__gamma': 0.89898989898989912, 'classifier__colsample_bytree': 0.8676767676767676}",17,0.7212292745692721,0.8781577297644368,0.7167674428125003,0.8753917452404087,0.7187137019259969,0.8727566129420056,0.7378105026354308,0.8799248850026826,0.7182126424378418,0.870203008677618,3.0162882231073604,0.01436332772695912,0.007736924524163624,0.0035217002844031074
3,38.60518670082092,0.3137807846069336,0.6050225709045118,0.6419582481353532,0.512121212121,0.686868686869,0.0185595525159,0,79,72,0.673737373737,"{'classifier__subsample': 0.67373737373737375, 'classifier__n_estimators': 72, 'classifier__max_depth': 79, 'classifier__max_delta_step': 0, 'classifier__learning_rate': 0.018559552515898466, 'classifier__gamma': 0.68686868686868696, 'classifier__colsample_bytree': 0.51212121212121209}",50,0.6079375197496576,0.64114129193993,0.588151562457345,0.639036642697165,0.591887847886186,0.6483746932915074,0.6349448832334614,0.6355478974091052,0.6024820113920213,0.6456907153390586,0.36326201277824804,0.010030384084602917,0.016498454139951314,0.00459124976588883
4,53.33690767288208,0.26636590957641604,0.7159310294222923,0.8659659019370618,0.835353535354,0.838383838384,0.205587483636,0,33,64,0.855555555556,"{'classifier__subsample': 0.85555555555555562, 'classifier__n_estimators': 64, 'classifier__max_depth': 33, 'classifier__max_delta_step': 0, 'classifier__learning_rate': 0.20558748363608464, 'classifier__gamma': 0.83838383838383845, 'classifier__colsample_bytree': 0.83535353535353529}",29,0.7150020644034663,0.8674776418728343,0.7069321656524993,0.8627994372233264,0.7076502367142987,0.8636147095114736,0.7373167640447221,0.8726001223880675,0.7129831866005681,0.863337598689607,0.5587973319035566,0.005486579916136939,0.01106795484343864,0.003708391057911982
5,111.8907292842865,0.8493182182312011,0.7193794167390661,0.8722152298546575,0.572727272727,0.666666666667,0.220210236983,0,7,291,0.633333333333,"{'classifier__subsample': 0.6333333333333333, 'classifier__n_estimators': 291, 'classifier__max_depth': 7, 'classifier__max_delta_step': 0, 'classifier__learning_rate': 0.22021023698326186, 'classifier__gamma': 0.66666666666666674, 'classifier__colsample_bytree': 0.57272727272727275}",25,0.7245850629179474,0.8709489315500716,0.7107500959946876,0.8746346561849095,0.714735717864884,0.871269563874658,0.7367352000783085,0.8769679901145248,0.710031076292712,0.8672550075491243,1.410742988920659,0.007374938663144527,0.010083458712862627,0.0033329852900222854
6,186.93621444702148,1.6477547645568849,0.7215517764274385,0.9489524766835598,0.782828282828,0.020202020202,0.122797753044,0,21,328,0.710101010101,"{'classifier__subsample': 0.71010101010101012, 'classifier__n_estimators': 328, 'classifier__max_depth': 21, 'classifier__max_delta_step': 0, 'classifier__learning_rate': 0.12279775304371733, 'classifier__gamma': 0.020202020202020204, 'classifier__colsample_bytree': 0.78282828282828287}",23,0.7272784775672109,0.9474715001487694,0.7111551780356212,0.9471850247512807,0.7082613493465302,0.9485228776988155,0.740730129244423,0.9550155172601797,0.720436795690678,0.9465674635587534,1.6184290041683582,0.3111999100243908,0.011699370784181333,0.003096788070128429
7,307.6459855556488,2.735742712020874,0.7319217680419404,0.9263724513513706,0.754545454545,0.313131313131,0.0932882801234,0,10,627,0.714141414141,"{'classifier__subsample': 0.71414141414141419, 'classifier__n_estimators': 627, 'classifier__max_depth': 10, 'classifier__max_delta_step': 0, 'classifier__learning_rate': 0.093288280123427172, 'classifier__gamma': 0.31313131313131315, 'classifier__colsample_bytree': 0.75454545454545452}",4,0.7424133531010314,0.9251776677771281,0.7227477001245556,0.926211722612598,0.7210729214078773,0.9273920912510271,0.7418568292811143,0.9304909581528243,0.731435041622843,0.9225898169632756,4.276483901302273,0.6189326142554962,0.00908653819914924,0.002598593012741256
8,415.52573199272155,5.105342435836792,0.7222139265060594,0.9463949603732246,0.738383838384,0.141414141414,0.0965489384606,0,20,835,0.657575757576,"{'classifier__subsample': 0.65757575757575759, 'classifier__n_estimators': 835, 'classifier__max_depth': 20, 'classifier__max_delta_step': 0, 'classifier__learning_rate': 0.096548938460562964, 'classifier__gamma': 0.14141414141414144, 'classifier__colsample_bytree': 0.73838383838383836}",19,0.7262248739555552,0.9457331333540356,0.7121627969598481,0.944473044904288,0.704431359508377,0.9450871997660141,0.7399979467440199,0.951823391182843,0.728509692408888,0.9448580326589425,4.617122496767568,2.016991312929925,0.012539709194028036,0.0027448868731727552
9,39.327564334869386,0.29985690116882324,0.6983244807436062,0.827683567248498,0.742424242424,0.242424242424,0.127089841146,0,86,59,0.572727272727,"{'classifier__subsample': 0.57272727272727275, 'classifier__n_estimators': 59, 'classifier__max_depth': 86, 'classifier__max_delta_step': 0, 'classifier__learning_rate': 0.1270898411464649, 'classifier__gamma': 0.24242424242424243, 'classifier__colsample_bytree': 0.74242424242424243}",42,0.7026267526285486,0.8310906375794996,0.6881399777461021,0.8232715115865957,0.68873394318476,0.8271721056583805,0.7193183197463846,0.8305826302007577,0.6928766183071711,0.8263009512172558,0.743655159051967,0.005708386275951701,0.011670254243171406,0.0028862484111141203
