,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_classifier__max_depth,param_classifier__n_estimators,param_features__ngram_range,param_features__stop_words,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.2732130527496338,0.13719944953918456,0.3033749082905356,0.3096049738521328,2,5,"(1, 1)",,"{'classifier__max_depth': 2, 'classifier__n_estimators': 5, 'features__ngram_range': (1, 1), 'features__stop_words': None}",82,0.25892040256175664,0.26542785042440925,0.2923923006416132,0.2999312084384316,0.3623853211009174,0.3709307657038056,0.25895316804407714,0.25716250286500114,0.3443526170798898,0.3545725418290167,0.007663493482501808,0.00023959372825877048,0.04296585803823748,0.04599640779637941
1,0.2720770359039307,0.1342923641204834,0.25018341892883345,0.25596219894330785,2,5,"(1, 1)",english,"{'classifier__max_depth': 2, 'classifier__n_estimators': 5, 'features__ngram_range': (1, 1), 'features__stop_words': 'english'}",95,0.24519670631290028,0.25992200045882086,0.2529789184234647,0.26232515478101354,0.24770642201834864,0.25103163686382396,0.26078971533516987,0.2635801054320422,0.24426078971533516,0.24295209718083888,0.002610703687719978,0.00017512100255514496,0.006103450941425914,0.007845673006127587
2,0.3623354911804199,0.14491877555847169,0.2793470286133529,0.2833794069941562,2,5,"(1, 2)",,"{'classifier__max_depth': 2, 'classifier__n_estimators': 5, 'features__ngram_range': (1, 2), 'features__stop_words': None}",89,0.25709057639524246,0.2672631337462721,0.2603116406966086,0.26278376519146984,0.3275229357798165,0.3271435121503897,0.27089072543618,0.27664451065780427,0.2809917355371901,0.2830621132248453,0.022152364538181354,0.013077452319655009,0.025507887585848977,0.022998570080717377
3,0.2870842933654785,0.13387255668640136,0.24413059427732942,0.2511003602848105,2,5,"(1, 2)",english,"{'classifier__max_depth': 2, 'classifier__n_estimators': 5, 'features__ngram_range': (1, 2), 'features__stop_words': 'english'}",96,0.24794144556267156,0.25143381509520535,0.2383134738771769,0.2497133684934648,0.24403669724770644,0.24919761577258137,0.24701561065197428,0.2493696997478799,0.2433425160697888,0.2557873023149209,0.0219871780393725,0.008416367858771125,0.0033869290469867837,0.0024745903299883154
4,0.4460892677307129,0.13680882453918458,0.28319882611885544,0.2838340554359228,2,5,"(1, 3)",,"{'classifier__max_depth': 2, 'classifier__n_estimators': 5, 'features__ngram_range': (1, 3), 'features__stop_words': None}",88,0.2698993595608417,0.26703372333103925,0.26306141154903756,0.26186654437055723,0.23577981651376148,0.2480513525905548,0.26262626262626265,0.27412330964932385,0.38475665748393023,0.3680953472381389,0.040832757652615036,0.002939698138858162,0.05206574956508352,0.04298718042410181
5,0.3233999729156494,0.12782435417175292,0.2509170946441673,0.2520617808656459,2,5,"(1, 3)",english,"{'classifier__max_depth': 2, 'classifier__n_estimators': 5, 'features__ngram_range': (1, 3), 'features__stop_words': 'english'}",94,0.23970722781335774,0.2463867859600826,0.23556370302474794,0.24352212795230452,0.25321100917431194,0.2551581843191197,0.25252525252525254,0.24845289938115975,0.2736455463728191,0.2667889067155627,0.032806539701340474,0.0026814265249938186,0.013308488394006572,0.008302183023440868
6,0.2061309814453125,0.1198737621307373,0.35308143800440206,0.35692097678551377,2,16,"(1, 1)",,"{'classifier__max_depth': 2, 'classifier__n_estimators': 16, 'features__ngram_range': (1, 1), 'features__stop_words': None}",73,0.2909423604757548,0.28951594402385866,0.31164069660861593,0.310708553084155,0.44495412844036697,0.4516276937184778,0.3627180899908173,0.36717854687141877,0.35537190082644626,0.3655741462296585,0.010401364159788495,0.0017058891087073755,0.053149284453493637,0.05626452499341056
7,0.20536093711853026,0.12038798332214355,0.2688921496698459,0.27783609962599215,2,16,"(1, 1)",english,"{'classifier__max_depth': 2, 'classifier__n_estimators': 16, 'features__ngram_range': (1, 1), 'features__stop_words': 'english'}",91,0.2717291857273559,0.29295710025235144,0.25939505041246563,0.27585416188947487,0.27339449541284405,0.27097661623108665,0.2800734618916437,0.28031171212468486,0.2598714416896235,0.26908090763236303,0.02714011715964493,0.005062662923221212,0.008058611411618332,0.008513604332687356
8,0.30871047973632815,0.13516011238098144,0.32831988261188555,0.32725199533160887,2,16,"(1, 2)",,"{'classifier__max_depth': 2, 'classifier__n_estimators': 16, 'features__ngram_range': (1, 2), 'features__stop_words': None}",77,0.2753888380603843,0.2789630649231475,0.2923923006416132,0.29488649392341204,0.3,0.29665291150848233,0.42056932966023874,0.41164336465734586,0.35353535353535354,0.35411414164565663,0.03108888379674068,0.011958765482941825,0.05298233066441197,0.04931354486037724
9,0.2648304462432861,0.13328051567077637,0.26173881144534117,0.2675159859315865,2,16,"(1, 2)",english,"{'classifier__max_depth': 2, 'classifier__n_estimators': 16, 'features__ngram_range': (1, 2), 'features__stop_words': 'english'}",92,0.25892040256175664,0.264280798348245,0.2566452795600367,0.26370098601238245,0.2743119266055046,0.27670793214121964,0.25068870523415976,0.2587669035067614,0.2681359044995409,0.27412330964932385,0.01392345955199342,0.011727775057775593,0.008423351785662432,0.006778137033006646
