,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_classifier__max_depth,param_classifier__n_estimators,param_features__ngram_range,param_features__stop_words,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.37843708992004393,0.15288972854614258,0.14711122138562663,0.14816813825626712,2,5,"(1, 2)",,"{'classifier__max_depth': 2, 'classifier__n_estimators': 5, 'features__ngram_range': (1, 2), 'features__stop_words': None}",90,0.16352300091765948,0.1752910784296884,0.16797046745167,0.16040461164982842,0.16000716370395995,0.16039092308639827,0.1098050069477943,0.11740125845786242,0.13312990978088618,0.1273528196575581,0.005173322843933793,0.013167404157136981,0.02213642735640605,0.02197571393452897
1,0.38723087310791016,0.15163707733154297,0.14429487460987162,0.14767872795444587,2,7,"(1, 2)",,"{'classifier__max_depth': 2, 'classifier__n_estimators': 7, 'features__ngram_range': (1, 2), 'features__stop_words': None}",91,0.16346365812248975,0.17622296275075777,0.13947980279134375,0.13355159585554285,0.16705099902595683,0.16355277811471788,0.11198607513324806,0.11071956862675451,0.13873396156421,0.15434673442445632,0.007592024475865286,0.012358257632999949,0.019900686978657104,0.023137745950854622
2,0.371164608001709,0.14773039817810057,0.1271776355617735,0.12248431761492633,2,9,"(1, 2)",,"{'classifier__max_depth': 2, 'classifier__n_estimators': 9, 'features__ngram_range': (1, 2), 'features__stop_words': None}",93,0.22592574642346866,0.22542796899055173,0.05803598414069689,0.05157034870869972,0.15003991379347092,0.13123573150018022,0.09630532626995926,0.10058176683878661,0.10327703037735829,0.10360577203641338,0.04942786162277972,0.004509666612987011,0.05797772754831106,0.05751329377323465
3,0.33278965950012207,0.1588083267211914,0.06758555837768145,0.06521042273846687,2,13,"(1, 2)",,"{'classifier__max_depth': 2, 'classifier__n_estimators': 13, 'features__ngram_range': (1, 2), 'features__stop_words': None}",106,0.09960146554564933,0.11445885745374934,0.04204606311893832,0.03449871635227472,0.050442532965149896,0.047112215118304254,0.07867444036207208,0.07503636800987187,0.0667397142985669,0.05494595675813423,0.04713640279329451,0.016287968936418557,0.020594232408028542,0.027921571633622914
4,0.32515559196472166,0.1424494743347168,0.10288212931717952,0.10701327999816498,2,18,"(1, 2)",,"{'classifier__max_depth': 2, 'classifier__n_estimators': 18, 'features__ngram_range': (1, 2), 'features__stop_words': None}",104,0.05867799014702574,0.08822371887547704,0.07456975430810989,0.05850983206622837,0.09897245806692626,0.09874624924900705,0.21723393902232488,0.22052577417313182,0.06654230565408392,0.06906082562698072,0.03276557999564178,0.0034497815120757723,0.058424257665311924,0.05847982727829407
5,0.30513758659362794,0.15755343437194824,0.07492249797264813,0.07467955147887058,2,24,"(1, 2)",,"{'classifier__max_depth': 2, 'classifier__n_estimators': 24, 'features__ngram_range': (1, 2), 'features__stop_words': None}",105,0.055135666340170565,0.06275700201663739,0.09693385608762094,0.07771858727599086,0.06665974229835171,0.07270562263815612,0.15549403651919189,0.16021654546356848,0.0,0.0,0.017981132243596064,0.01741691982077624,0.050783297059226754,0.05108599038552018
6,0.30033092498779296,0.15095152854919433,0.03866965517171926,0.0372596800241507,2,33,"(1, 2)",,"{'classifier__max_depth': 2, 'classifier__n_estimators': 33, 'features__ngram_range': (1, 2), 'features__stop_words': None}",107,0.0,0.0,0.04204606311893832,0.03449871635227472,0.08151498356108308,0.08783818099538875,0.07023011067637105,0.06396150277309003,0.0,0.0,0.012611937755612925,0.01876346813548408,0.034136462137080985,0.034800467037138766
7,0.3253875732421875,0.15072383880615234,0.01553718918201766,0.021998711884761466,2,45,"(1, 2)",,"{'classifier__max_depth': 2, 'classifier__n_estimators': 45, 'features__ngram_range': (1, 2), 'features__stop_words': None}",108,0.0,0.017152711019049516,0.0,0.0,0.0777858176495503,0.08056811602682246,0.0,0.012272732377935362,0.0,0.0,0.014260757398420549,0.017061963113470368,0.031099336276216326,0.03005441781998528
8,0.3159958839416504,0.14713830947875978,0.0,0.0034188529562248224,2,62,"(1, 2)",,"{'classifier__max_depth': 2, 'classifier__n_estimators': 62, 'features__ngram_range': (1, 2), 'features__stop_words': None}",109,0.0,0.0,0.0,0.0,0.0,0.01709426478112411,0.0,0.0,0.0,0.0,0.0063605308933087894,0.01340818300131536,0.0,0.006837705912449645
9,0.37685956954956057,0.1573568820953369,0.0,0.0048360972879058816,2,85,"(1, 2)",,"{'classifier__max_depth': 2, 'classifier__n_estimators': 85, 'features__ngram_range': (1, 2), 'features__stop_words': None}",109,0.0,0.0,0.0,0.0,0.0,0.024180486439529407,0.0,0.0,0.0,0.0,0.037772719711971936,0.014812842281988666,0.0,0.009672194575811763
10,0.4596887111663818,0.1410501480102539,0.0,0.0024545464755870725,2,117,"(1, 2)",,"{'classifier__max_depth': 2, 'classifier__n_estimators': 117, 'features__ngram_range': (1, 2), 'features__stop_words': None}",109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012272732377935362,0.0,0.0,0.014383070751832074,0.009021151502045553,0.0,0.004909092951174145
11,0.5001213073730468,0.13681998252868652,0.0,0.0,2,160,"(1, 2)",,"{'classifier__max_depth': 2, 'classifier__n_estimators': 160, 'features__ngram_range': (1, 2), 'features__stop_words': None}",109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06300450561308671,0.0036861424303987174,0.0,0.0
